id,agent,time,score
1,4,8,-1000
2,4,23,-200
3,4,12,-1000
4,4,39,600
5,4,24,-600
6,4,9,-500
7,4,9,-1000
8,4,40,900
9,4,8,-1000
10,4,14,-800
11,4,37,900
12,4,17,-300
13,4,53,2100
14,4,37,700
15,4,16,-1000
16,4,24,-200
17,4,15,-1000
18,4,12,-500
19,4,18,-800
20,4,2,-1000
21,4,24,-300
22,4,13,-500
23,4,17,-300
24,4,11,-1000
25,4,10,-500
26,4,23,100
27,4,37,1100
28,4,52,1900
29,4,11,-500
30,4,75,2500
31,4,10,-1000
32,4,33,700
33,4,17,-300
34,4,13,-500
35,4,22,500
36,4,12,-500
37,4,82,3300
38,4,17,-1000
39,4,14,-500
40,4,42,1300
41,4,34,400
42,4,13,-1000
43,4,38,600
44,4,21,-300
45,4,69,3100
46,4,19,-300
47,4,13,-1000
48,4,103,5300
49,4,58,2500
50,4,12,-1000
51,4,17,-500
52,4,11,-1000
53,4,47,1500
54,4,18,-500
55,4,11,-1000
56,4,26,200
57,4,30,700
58,4,15,-500
59,4,14,-1000
60,4,19,-600
61,4,40,800
62,4,16,-500
63,4,13,-300
64,4,53,1700
65,4,14,-500
66,4,41,800
67,4,17,-800
68,4,38,700
69,4,17,-800
70,4,21,-200
71,4,11,-500
72,4,11,-1000
73,4,15,-600
74,4,17,-600
75,4,14,-500
76,4,19,-100
77,4,22,-300
78,4,13,-1000
79,4,9,-500
80,4,10,-500
81,4,6,-500
82,4,12,-1000
83,4,21,-400
84,4,32,700
85,4,100,3900
86,4,21,-600
87,4,65,2100
88,4,26,200
89,4,15,-500
90,4,12,-500
91,4,65,2100
92,4,28,100
93,4,59,2000
94,4,41,1300
95,4,73,3500
96,4,27,700
97,4,12,-500
98,4,16,-300
99,4,25,500
100,4,24,-100
101,4,11,-300
102,4,30,500
103,4,45,1900
104,4,82,4100
105,4,31,200
106,4,54,1600
107,4,73,2400
108,4,9,-1000
109,4,63,2500
110,4,15,-1000
111,4,19,-600
112,4,7,-1000
113,4,16,-800
114,4,15,-500
115,4,18,-800
116,4,18,-300
117,4,28,-100
118,4,29,-200
119,4,43,800
120,4,46,1500
121,4,18,-100
122,4,33,200
123,4,17,-800
124,4,46,1500
125,4,11,-500
126,4,37,400
127,4,17,-800
128,4,0,-500
129,4,19,-400
130,4,5,-500
131,4,23,-400
132,4,19,-800
133,4,20,-300
134,4,1,-500
135,4,132,6000
136,4,21,300
137,4,49,1700
138,4,12,-500
139,4,50,1400
140,4,24,300
141,4,14,-500
142,4,29,200
143,4,23,-400
144,4,11,-1000
145,4,13,-500
146,4,6,-1000
147,4,11,-1000
148,4,10,-500
149,4,43,400
150,4,13,-500
151,4,12,-500
152,4,12,-300
153,4,51,1900
154,4,1,-500
155,4,60,1600
156,4,5,-500
157,4,70,3300
158,4,54,1200
159,4,21,-600
160,4,15,-500
161,4,2,-500
162,4,8,-500
163,4,12,-500
164,4,14,-500
165,4,39,400
166,4,26,0
167,4,18,-800
168,4,28,-200
169,4,18,-500
170,4,10,-500
171,4,19,-400
172,4,17,-300
173,4,24,-400
